2023000,6483.8388,16027.4584,122.7202,-0.1085,-0.0764,0.0706,0,0,0,1
2023020,6483.8171,16027.4431,122.7343,-0.1262,-0.1156,0.0835,-0.2612,-0.4396,0.1707,0
2023040,6483.7883,16027.4122,122.7536,-0.1426,-0.2177,0.1071,-0.0203,-0.5932,0.0911,1
2023060,6483.7601,16027.356,122.7771,-0.0967,-0.3774,0.1303,0.4238,-0.9636,0.1067,1
2023080,6483.7496,16027.2612,122.8057,0.0428,-0.6079,0.1674,0.9961,-1.3592,0.2354,1
2023100,6483.7772,16027.1129,122.8441,0.2598,-0.8962,0.2313,1.2931,-1.6234,0.4223,1
2023120,6483.8535,16026.9027,122.8982,0.4907,-1.1802,0.3112,1.1491,-1.4185,0.4417,1
2023140,6483.9735,16026.6408,122.9686,0.6658,-1.3538,0.3752,0.6484,-0.4736,0.2349,1
2023160,6484.1199,16026.3612,123.0483,0.7609,-1.3376,0.4048,0.2268,0.6715,0.0387,1
2023180,6484.2778,16026.1057,123.1305,0.8168,-1.1496,0.4081,0.1775,1.4017,-0.0365,1
2023200,6484.4466,16025.9014,123.2116,0.9224,-0.8943,0.4001,0.6875,1.384,-0.0499,0
2023220,6484.6468,16025.748,123.2905,1.184,-0.7002,0.3861,1.7807,0.719,-0.0846,1
2023240,6484.9202,16025.6213,123.366,1.6784,-0.6594,0.3662,3.1775,-0.272,-0.1315,1
2023260,6485.3181,16025.4843,123.437,2.3907,-0.7923,0.3499,4.1895,-1.1672,-0.0629,0
2023280,6485.8764,16025.3043,123.5059,3.1869,-1.0418,0.3514,4.1211,-1.5013,0.0771,1
2023300,6486.5929,16025.0676,123.5776,3.8816,-1.3181,0.3703,3.0386,-1.351,0.1532,0
2023320,6487.4291,16024.7771,123.654,4.3595,-1.5756,0.3841,1.6951,-1.1505,0.0418,1
2023340,6488.3367,16024.4373,123.7312,4.6354,-1.8477,0.3649,0.8868,-1.4389,-0.2196,0
2023360,6489.2832,16024.038,123.8,4.7939,-2.1969,0.3064,0.6041,-2.0315,-0.4193,1
2023380,6490.2542,16023.5586,123.8538,4.89,-2.6352,0.2373,0.3593,-2.4503,-0.3573,0
2023400,6491.2392,16022.9839,123.8949,4.9339,-3.1115,0.2034,0.0664,-2.4479,-0.0401,1
2023420,6492.2278,16022.314,123.9351,4.941,-3.5521,0.2358,-0.1034,-2.059,0.3701,0
2023440,6493.2156,16021.5631,123.9893,4.9722,-3.8979,0.3311,0.2525,-1.4489,0.651,1
2023460,6494.2166,16020.7548,124.0676,5.1148,-4.1183,0.4521,1.0635,-0.7574,0.6549,0
