2033820,6478.0635,16033.1733,126.6325,0.7152,0.0097,-5.0519,0,0,0,1
2033840,6478.2065,16033.1753,125.6222,0.6554,0.1548,-5.6014,-0.6499,1.8134,-8.1492,1
2033860,6478.3256,16033.2352,124.392,0.5021,0.4418,-6.21,-0.9843,1.4517,-0.3716,0
2033880,6478.4073,16033.352,123.1382,0.3112,0.6666,-5.6983,-1.0303,0.8926,6.0874,1
2033900,6478.4501,16033.5019,122.1127,0.1414,0.752,-4.1952,-0.7274,-0.0442,10.2718,1
2033920,6478.4639,16033.6528,121.4601,0.0251,0.7052,-2.4312,-0.4171,-0.5708,8.7619,1
2033940,6478.4601,16033.784,121.1402,-0.0453,0.597,-1.1142,-0.2265,-0.6262,4.5835,1
2033960,6478.4458,16033.8916,121.0144,-0.0957,0.4886,-0.399,-0.2744,-0.4628,2.0227,1
2033980,6478.4219,16033.9794,120.9806,-0.1319,0.3914,-0.0438,-0.1036,-0.4885,1.114,1
2034000,6478.393,16034.0481,120.9969,-0.1505,0.3001,0.1859,-0.0553,-0.448,1.0507,1
2034020,6478.3617,16034.0994,121.055,-0.1628,0.2239,0.3829,-0.0474,-0.3341,0.936,1
2034040,6478.3279,16034.1377,121.1501,-0.1804,0.1723,0.5492,-0.1206,-0.1731,0.7676,1
2034060,6478.2895,16034.1683,121.2747,-0.2057,0.1377,0.6651,-0.1595,-0.1111,0.4136,1
2034080,6478.2456,16034.1928,121.4161,-0.2258,0.089,0.7182,-0.0725,-0.3166,0.112,1
2034100,6478.1992,16034.2039,121.5619,-0.2258,-0.0021,0.7066,0.0742,-0.6111,-0.2138,1
2034120,6478.1553,16034.1919,121.6988,-0.2064,-0.1266,0.6259,0.151,-0.7173,-0.5964,1
2034140,6478.1166,16034.1533,121.8123,-0.1831,-0.2423,0.4808,0.111,-0.5119,-0.9042,1
2034160,6478.082,16034.095,121.8911,-0.1706,-0.3119,0.2998,0.0124,-0.1865,-0.9889,1
2034180,6478.0484,16034.0285,121.9322,-0.1677,-0.3308,0.1282,-0.0151,0.0359,-0.7996,1
2034200,6478.0149,16033.9627,121.9424,-0.1593,-0.318,0.0056,0.0731,0.126,-0.4497,1
2034220,6477.9847,16033.9013,121.9345,-0.1316,-0.2924,-0.0538,0.2016,0.1463,-0.1177,1
2034240,6477.9623,16033.8457,121.9209,-0.0837,-0.2654,-0.0637,0.303,0.1393,0.0701,1
2034260,6477.9512,16033.7952,121.909,-0.0288,-0.2466,-0.0521,0.2827,0.0692,0.0935,1
2034280,6477.9508,16033.7471,121.9,0.0134,-0.2455,-0.0454,0.1606,-0.0623,-0.0051,1
2034300,6477.9566,16033.697,121.8908,0.0315,-0.2603,-0.0554,0.0136,-0.1122,-0.1064,1
2034320,6477.9634,16033.643,121.8778,0.0281,-0.2769,-0.0771,-0.0695,-0.0794,-0.14,1
2034340,6477.9678,16033.5862,121.86,0.0141,-0.2806,-0.0945,-0.0832,0.0246,-0.062,1
2034360,6477.969,16033.5307,121.84,-0.0034,-0.2613,-0.0934,-0.0888,0.1631,0.0692,1
2034380,6477.9665,16033.4817,121.8226,-0.0261,-0.2167,-0.071,-0.1252,0.2971,0.1702,1
2034400,6477.9586,16033.4441,121.8116,-0.0583,-0.1553,-0.0342,-0.2035,0.3516,0.208,1
2034420,6477.9431,16033.4196,121.8089,-0.0967,-0.0963,0.0123,-0.2034,0.2739,0.2472,1
2034440,6477.9199,16033.4055,121.8165,-0.1298,-0.0591,0.0727,-0.1431,0.1172,0.3424,1
2034460,6477.8912,16033.3959,121.838,-0.1501,-0.054,0.1538,-0.0509,-0.0758,0.4736,1
