2051420,6472.2095,16024.9278,128.0333,0.0583,-0.039,-0.0529,0,0,0,1
2051440,6472.2212,16024.92,128.0227,0.0865,0.0442,-0.0495,0.3179,0.8489,0.0354,1
2051460,6472.2441,16024.9455,128.0135,0.1571,0.2868,-0.0399,0.4215,1.5922,0.0646,1
2051480,6472.284,16025.0347,128.0067,0.2492,0.6637,-0.0269,0.5394,2.3502,0.0734,1
2051500,6472.3438,16025.2109,128.0027,0.3335,1.0619,-0.0146,0.4013,2.0548,0.0551,1
2051520,6472.4174,16025.4595,128.0009,0.3593,1.2588,-0.0063,-0.0644,0.275,0.0292,1
2051540,6472.4875,16025.7145,128.0002,0.2859,1.0657,-0.0022,-0.6753,-2.1853,0.0073,1
2051560,6472.5318,16025.8857,128,0.1167,0.468,-0.0006,-1.1117,-4.0892,0.007,1
2051580,6472.5342,16025.9017,128,-0.0996,-0.3843,0,-1.154,-4.7628,-0.0019,1
2051600,6472.492,16025.732,128,-0.3095,-1.3169,0,-0.9703,-4.6936,0.0005,1
2051620,6472.4104,16025.3749,128,-0.4938,-2.2383,0,-0.8597,-4.5856,-0.0001,1
2051640,6472.2945,16024.8367,128,-0.6555,-3.0985,0,-0.7541,-4.1241,-0.0001,1
2051660,6472.1482,16024.1355,128,-0.7903,-3.8226,0,-0.6665,-3.3717,0.0006,1
2051680,6471.9783,16023.3077,128,-0.8616,-4.277,0.0006,-0.1243,-1.3797,-0.0022,1
2051700,6471.8036,16022.4247,128.0002,-0.8179,-4.3212,0.0066,0.4306,0.6144,0.0417,1
2051720,6471.6511,16021.5792,128.0027,-0.5696,-3.7246,0.0321,1.755,4.5485,0.1669,1
2051740,6471.5757,16020.9348,128.013,0.0402,-2.0603,0.1065,4.0998,11.3611,0.4859,1
2051760,6471.6672,16020.7551,128.0453,1.1153,0.9945,0.2809,6.8799,19.6957,1.1611,1
2051780,6472.0219,16021.3327,128.1254,2.4963,5.0589,0.6027,7.8552,23.4561,2.0608,1
2051800,6472.6657,16022.7786,128.2863,3.6826,8.7674,1.0621,5.0824,16.7397,2.7141,1
2051820,6473.4949,16024.8396,128.5502,4.1208,10.5136,1.5559,-0.3917,1.8405,2.5287,1
2051840,6474.3141,16026.9841,128.9087,3.6465,9.7062,1.921,-5.0125,-11.5867,1.3562,1
2051860,6474.9535,16028.7221,129.3186,2.5862,7.1679,2.0285,-6.5195,-16.4537,-0.2372,1
2051880,6475.3486,16029.8512,129.7201,1.4294,4.2887,1.8475,-5.5649,-13.938,-1.6725,1
