2003320,6488.6066,16027.5747,127.3586,-0.7544,4.5903,-0.4154,0,0,0,1
2003340,6488.4557,16028.4928,127.2755,-0.7819,4.8419,-0.3452,-0.4176,3.7178,0.7882,1
2003360,6488.2939,16029.5115,127.2205,-0.8112,5.1341,-0.1726,0.0206,0.2219,1.0614,1
2003380,6488.1312,16030.5464,127.2065,-0.7906,4.9621,0.0328,0.2259,-2.1651,1.1058,1
2003400,6487.9776,16031.4963,127.2336,-0.7274,4.3384,0.2042,0.4234,-4.3221,0.6978,1
2003420,6487.8403,16032.2818,127.2881,-0.6363,3.4311,0.2958,0.5265,-5.2069,0.204,1
2003440,6487.7231,16032.8687,127.3519,-0.5381,2.4738,0.3121,0.4861,-4.6294,-0.119,1
2003460,6487.6251,16033.2713,127.4129,-0.4533,1.6385,0.2904,0.4061,-3.9316,-0.1445,1
2003480,6487.5418,16033.5242,127.4681,-0.4049,1.047,0.2584,0.1057,-2.106,-0.1873,1
2003500,6487.4631,16033.6901,127.5163,-0.4056,0.7535,0.2265,-0.1433,-0.6766,-0.1412,1
2003520,6487.3795,16033.8256,127.5587,-0.4419,0.6916,0.1992,-0.2625,0.235,-0.1277,1
2003540,6487.2863,16033.9667,127.596,-0.4885,0.7575,0.1755,-0.2523,0.5989,-0.1053,1
2003560,6487.1841,16034.1285,127.6289,-0.5177,0.8518,0.1527,-0.0779,0.4629,-0.1164,1
2003580,6487.0793,16034.3075,127.6571,-0.5099,0.9086,0.1286,0.161,0.1141,-0.1302,1
2003600,6486.9802,16034.492,127.6803,-0.4688,0.9194,0.1068,0.3016,-0.0763,-0.1063,1
2003620,6486.8917,16034.6752,127.6998,-0.4211,0.9167,0.0957,0.2334,-0.004,-0.0112,1
2003640,6486.8117,16034.8586,127.7186,-0.3958,0.9255,0.0978,0.0271,0.1253,0.0528,1
2003660,6486.7334,16035.0454,127.7389,-0.3963,0.9274,0.1029,-0.0883,0.0021,0.0262,1
2003680,6486.6532,16035.2296,127.7598,-0.394,0.8678,0.0967,0.0429,-0.5213,-0.0796,1
2003700,6486.5758,16035.3925,127.7776,-0.3526,0.7068,0.0749,0.3382,-1.1068,-0.1581,1
2003720,6486.5122,16035.5123,127.7897,-0.254,0.4525,0.0465,0.6686,-1.5173,-0.148,1
2003740,6486.4742,16035.5735,127.7962,-0.1094,0.1503,0.023,0.8393,-1.6217,-0.0944,1
2003760,6486.4684,16035.5725,127.7989,0.0454,-0.1295,0.0089,0.7957,-1.326,-0.0416,1
2003780,6486.4924,16035.5217,127.7998,0.1635,-0.3028,0.0027,0.4471,-0.5353,-0.0129,1
2003800,6486.5338,16035.4514,127.8,0.2127,-0.3017,0.0006,0.0297,0.5345,-0.0051,1
2003820,6486.5775,16035.401,127.8,0.1992,-0.1252,0,-0.2293,1.3942,0,1
2003840,6486.6135,16035.4013,127.8,0.1554,0.1362,0.0006,-0.2551,1.4814,0.0051,1
2003860,6486.6396,16035.4555,127.8002,0.1039,0.3414,0.0027,-0.2363,0.7724,0.0129,1
2003880,6486.6551,16035.5378,127.8011,0.0349,0.3788,0.0089,-0.4036,-0.3517,0.0417,1
2003900,6486.6536,16035.607,127.8038,-0.0725,0.2252,0.023,-0.687,-1.3395,0.094,1
2003920,6486.6261,16035.6279,127.8103,-0.2076,-0.0358,0.0465,-0.7555,-1.5346,0.1494,1
2003940,6486.5706,16035.5927,127.8224,-0.3259,-0.2723,0.0743,-0.4884,-0.9405,0.1527,1
2003960,6486.4957,16035.519,127.84,-0.3985,-0.4275,0.094,-0.1922,-0.4701,0.0664,1
2003980,6486.4112,16035.4217,127.86,-0.4487,-0.5786,0.094,-0.2001,-0.7242,-0.0664,1
2004000,6486.3162,16035.2876,127.8776,-0.5285,-0.8924,0.0743,-0.558,-2.1532,-0.1527,1
2004020,6486.1997,16035.0647,127.8897,-0.6556,-1.4988,0.0465,-0.8082,-3.9745,-0.1494,1
2004040,6486.054,16034.6881,127.8962,-0.7818,-2.353,0.023,-0.5916,-5.0205,-0.094,1
2004060,6485.887,16034.1235,127.8989,-0.8359,-3.1989,0.0089,-0.0158,-4.1238,-0.0418,1
2004080,6485.7197,16033.4085,127.8998,-0.7807,-3.6706,0.0027,0.5977,-1.0601,-0.0128,1
2004100,6485.5748,16032.6553,127.9,-0.6313,-3.5303,0.0006,0.9942,2.6418,-0.0055,1
2004120,6485.4671,16031.9964,127.9,-0.4408,-2.8724,0,1.0194,4.6283,0.0015,0
2004140,6485.3984,16031.5064,127.9,-0.2684,-2.0513,0,0.7633,4.1863,-0.0004,0
2004160,6485.3598,16031.1758,127.9,-0.1487,-1.3949,0,0.436,2.5502,0.0001,0
2004180,6485.3389,16030.9484,127.9,-0.0849,-1.0173,0,0.1666,1.0742,0,0
