1724820,9090.889,14023.4439,82.7557,-0.2182,0.0555,78.3898,0,0,0,1
1724840,9090.8453,14023.455,98.4336,-0.2273,0.0623,77.899,-0.1471,0.08,9.6321,0
1724860,9090.798,14023.4688,113.9153,-0.2351,0.0801,71.1975,0.0423,0.086,-67.9783,1
1724880,9090.7513,14023.487,126.9126,-0.2328,0.1177,54.6915,0.0567,0.2406,-110.3586,1
1724900,9090.7049,14023.5159,135.7919,-0.2555,0.1987,34.1748,-0.2078,0.5452,-108.3095,1
1724920,9090.6491,14023.5665,140.5826,-0.3418,0.3336,17.0541,-0.6485,0.8411,-69.6808,1
1724940,9090.5682,14023.6493,142.6135,-0.4921,0.5005,6.9783,-0.9555,0.9241,-26.9358,1
1724960,9090.4522,14023.7667,143.3739,-0.6523,0.6465,2.4389,-0.7871,0.6434,-13.1502,0
1724980,9090.3073,14023.9079,143.589,-0.7466,0.7115,0.7079,-0.2494,0.0803,-2.2549,1
1725000,9090.1536,14024.0513,143.657,-0.7234,0.6562,0.2981,0.4789,-0.642,0.0971,1
1725020,9090.0179,14024.1704,143.7083,-0.5816,0.487,0.2072,1.0293,-1.15,-0.6486,1
1725040,9089.921,14024.2461,143.7399,-0.3692,0.2575,0.1108,1.2169,-1.2772,-0.442,1
1725060,9089.8702,14024.2734,143.7526,-0.1525,0.0403,0.0234,1.0382,-0.9888,-0.428,1
1725080,9089.86,14024.2622,143.7493,0.0195,-0.113,-0.0403,0.6944,-0.5537,-0.2432,1
1725100,9089.8781,14024.2282,143.7364,0.1391,-0.1945,-0.0672,0.4435,-0.2045,-0.0253,1
1725120,9089.9156,14024.1844,143.7224,0.2338,-0.2333,-0.0559,0.4462,-0.1114,0.161,1
1725140,9089.9716,14024.1349,143.7141,0.3319,-0.2664,-0.018,0.5417,-0.1954,0.2412,1
1725160,9090.0484,14024.0778,143.7152,0.4301,-0.3079,0.0336,0.5024,-0.2481,0.2857,1
1725180,9090.1437,14024.0117,143.7275,0.4982,-0.345,0.0911,0.225,-0.1603,0.3011,1
1725200,9090.2476,14023.9398,143.7516,0.5129,-0.3595,0.1472,-0.0956,0.0096,0.2754,1
1725220,9090.3488,14023.8679,143.7864,0.4807,-0.3474,0.1935,-0.2692,0.1327,0.1987,1
1725240,9090.4399,14023.8008,143.829,0.4231,-0.318,0.2237,-0.3282,0.1733,0.103,1
1725260,9090.518,14023.7407,143.8759,0.3531,-0.2779,0.2377,-0.3766,0.2246,0.0327,1
1725280,9090.5812,14023.6897,143.9241,0.2763,-0.2279,0.2372,-0.4028,0.286,-0.0363,1
1725300,9090.6286,14023.6496,143.9708,0.1999,-0.177,0.221,-0.3826,0.2724,-0.1179,1
1725320,9090.6612,14023.6189,144.0125,0.134,-0.1514,0.1851,-0.2839,0.0354,-0.2336,1
1725340,9090.6822,14023.589,144.0448,0.083,-0.1774,0.1264,-0.2194,-0.2869,-0.3615,1
1725360,9090.6943,14023.5479,144.0631,0.0442,-0.2581,0.0503,-0.1624,-0.5729,-0.424,1
1725380,9090.6998,14023.4858,144.0649,0.0137,-0.3646,-0.0306,-0.133,-0.5792,-0.4102,1
1725400,9090.6998,14023.4021,144.0508,-0.0137,-0.452,-0.1029,-0.1299,-0.345,-0.3185,1
1725420,9090.6943,14023.305,144.0237,-0.0449,-0.4922,-0.1634,-0.1718,-0.051,-0.2722,1
1725440,9090.6819,14023.2052,143.9855,-0.0857,-0.4852,-0.2181,-0.2268,0.1505,-0.2663,1
1725460,9090.66,14023.1109,143.9365,-0.1418,-0.4456,-0.2702,-0.3266,0.2667,-0.2707,1
1725480,9090.6252,14023.027,143.8774,-0.2154,-0.3876,-0.3115,-0.4245,0.336,-0.1698,1
1725500,9090.5739,14022.9559,143.8119,-0.2962,-0.3255,-0.3294,-0.435,0.3196,-0.0084,1
1725520,9090.5067,14022.8967,143.7456,-0.3564,-0.2787,-0.3243,-0.2253,0.1794,0.0872,1
1725540,9090.4313,14022.8444,143.6822,-0.3656,-0.2632,-0.3105,0.1114,-0.0194,0.08,1
1725560,9090.3604,14022.7915,143.6214,-0.3114,-0.2819,-0.3027,0.4536,-0.1897,0.0023,1
1725580,9090.3067,14022.7316,143.5611,-0.2057,-0.3255,-0.3036,0.6511,-0.2606,-0.0302,1
1725600,9090.2782,14022.6613,143.5,-0.075,-0.3843,-0.3049,0.7083,-0.3441,0.0068,1
1725620,9090.2768,14022.5779,143.4391,0.0498,-0.4467,-0.3014,0.5941,-0.3141,0.0361,1
1725640,9090.2981,14022.4826,143.3795,0.1375,-0.4946,-0.2965,0.3212,-0.1903,0.0253,1
1725660,9090.3317,14022.3801,143.3205,0.1679,-0.5149,-0.2959,-0.0236,-0.0075,-0.021,1
1725680,9090.3652,14022.2767,143.2611,0.1451,-0.5109,-0.2986,-0.2556,0.0851,-0.0242,1
1725700,9090.3898,14022.1757,143.2011,0.0956,-0.5017,-0.2954,-0.2948,0.0392,0.0398,1
1725720,9090.4035,14022.076,143.1429,0.0491,-0.5048,-0.2778,-0.1923,-0.0641,0.1388,1
1725740,9090.4094,14021.9738,143.09,0.0197,-0.5234,-0.2478,-0.0971,-0.1428,0.1819,1
1725760,9090.4113,14021.8666,143.0438,0.0062,-0.5469,-0.2154,-0.0246,-0.1238,0.1593,1
1725780,9090.4119,14021.755,143.0038,0.0021,-0.5598,-0.1901,-0.0095,-0.0142,0.0997,1
1725800,9090.4122,14021.6427,142.9678,0.0034,-0.5574,-0.1751,0.0209,0.0601,0.0421,1
1725820,9090.4133,14021.5321,142.9338,0.0112,-0.5504,-0.1667,0.0494,0.0392,0.0293,1
1725840,9090.4167,14021.4225,142.9011,0.0295,-0.5535,-0.1582,0.1251,-0.063,0.0471,1
